wall,env_steps,update,mean_return,mean_percent,best_percent,pi_loss,v_loss,entropy,kl,clip_frac,steps_per_sec
1709.4,88576,88,-0.469,0.0531,0.1244,-0.0062,0.0114,0.5813,0.00619,0.0688,50.7
1728.7,89600,89,-0.464,0.0536,0.1244,-0.0125,0.0094,0.5933,0.01969,0.0879,53.4
1750.2,90624,90,-0.458,0.0542,0.1244,-0.0033,0.0124,0.607,0.00335,0.0447,48.2
1770.5,91648,91,-0.456,0.0544,0.1244,-0.0064,0.0039,0.5982,0.00083,0.0396,50.7
1792.0,92672,92,-0.46,0.054,0.1244,-0.0033,0.0076,0.6088,0.00345,0.0151,48.1
1812.4,93696,93,-0.459,0.0541,0.1244,-0.0059,0.0064,0.5921,-0.00054,0.0046,50.6
1832.7,94720,94,-0.451,0.0549,0.1244,-0.0043,0.0074,0.609,0.00091,0.0288,50.7
1852.1,95744,95,-0.446,0.0554,0.1244,-0.0051,0.0057,0.5937,0.00408,0.0215,53.4
1872.4,96768,96,-0.442,0.0558,0.1244,-0.0046,0.0082,0.5837,-0.0,0.0056,50.7
1892.8,97792,97,-0.436,0.0564,0.1244,-0.0032,0.0098,0.5791,0.00313,0.01,50.7
1913.1,98816,98,-0.432,0.0568,0.1244,-0.0109,0.0126,0.5686,0.00439,0.0454,50.7
1933.5,99840,99,-0.426,0.0574,0.1244,-0.0069,0.0114,0.5854,0.00242,0.0076,50.6
1952.9,100864,100,-0.418,0.0582,0.1244,-0.0051,0.008,0.5744,0.00218,0.0178,53.5
1972.2,101888,101,-0.414,0.0586,0.1244,-0.0058,0.0062,0.5609,0.00456,0.0388,53.5
1991.4,102912,102,-0.409,0.0591,0.1244,-0.0069,0.0122,0.5659,0.00327,0.0251,53.6
2011.8,103936,103,-0.402,0.0598,0.1244,-0.0028,0.0149,0.5529,-0.00061,0.0039,50.7
2030.1,104960,104,-0.403,0.0597,0.1244,-0.0036,0.0089,0.5728,0.00017,0.0129,56.5
2049.4,105984,105,-0.396,0.0604,0.1244,-0.0056,0.0064,0.5914,0.00163,0.0034,53.4
2068.8,107008,106,-0.39,0.061,0.1244,-0.0038,0.0044,0.5946,-0.00019,0.0034,53.4
2088.1,108032,107,-0.382,0.0618,0.1244,-0.0033,0.0044,0.591,-0.00045,0.0007,53.5
2108.4,109056,108,-0.377,0.0623,0.1244,-0.0079,0.0106,0.5808,0.00045,0.0159,50.7
2128.8,110080,109,-0.375,0.0625,0.1244,-0.0061,0.013,0.5703,0.00923,0.1167,50.7
2149.3,111104,110,-0.369,0.0631,0.1244,-0.0077,0.0116,0.6047,0.00517,0.0381,50.5
2168.6,112128,111,-0.364,0.0636,0.1244,-0.0041,0.0095,0.5721,-0.00031,0.0051,53.4
2187.9,113152,112,-0.358,0.0642,0.1244,-0.0035,0.0134,0.5763,0.00523,0.0271,53.5
2206.2,114176,113,-0.355,0.0645,0.1244,-0.0058,0.0116,0.5751,-0.00038,0.0149,56.5
2226.6,115200,114,-0.348,0.0652,0.1581,-0.0087,0.0163,0.5929,0.00832,0.0645,50.7
2245.9,116224,115,-0.341,0.0659,0.1581,-0.0016,0.011,0.5861,0.0007,0.0022,53.5
2266.2,117248,116,-0.334,0.0666,0.1581,-0.006,0.0093,0.6031,0.00293,0.0251,50.9
2286.5,118272,117,-0.333,0.0667,0.1581,-0.0054,0.0199,0.6013,0.00118,0.0039,50.7
2305.9,119296,118,-0.326,0.0674,0.1581,-0.0066,0.0068,0.6215,0.00153,0.0098,53.5
2324.1,120320,119,-0.323,0.0677,0.1581,-0.006,0.0078,0.6023,0.00247,0.0103,56.5
2343.5,121344,120,-0.315,0.0685,0.1581,-0.0045,0.0067,0.6127,0.00099,0.0042,53.4
2362.8,122368,121,-0.309,0.0691,0.1581,-0.0033,0.006,0.5666,0.00232,0.0342,53.5
2382.1,123392,122,-0.305,0.0695,0.1581,-0.0036,0.0079,0.5631,0.00118,0.0054,53.5
2400.4,124416,123,-0.301,0.0699,0.1581,-0.0057,0.0054,0.5092,0.0056,0.042,56.5
2420.7,125440,124,-0.293,0.0707,0.1581,-0.004,0.0168,0.5313,0.00049,0.0095,50.7
2439.0,126464,125,-0.287,0.0713,0.1731,-0.0027,0.0083,0.5379,0.00015,0.0039,56.6
2458.3,127488,126,-0.283,0.0717,0.1731,-0.0061,0.0099,0.5034,0.00073,0.0068,53.4
2477.7,128512,127,-0.277,0.0723,0.1731,-0.0066,0.0093,0.5131,0.00874,0.0532,53.5
2495.9,129536,128,-0.273,0.0727,0.1731,-0.0029,0.0069,0.5007,0.004,0.0237,56.6
2515.2,130560,129,-0.265,0.0735,0.1731,-0.0055,0.0089,0.493,0.00282,0.0085,53.5
2533.5,131584,130,-0.266,0.0734,0.1731,-0.005,0.0051,0.545,0.0015,0.0105,56.5
2552.8,132608,131,-0.258,0.0742,0.1731,-0.0045,0.0067,0.5174,0.00187,0.0042,53.4
2572.1,133632,132,-0.251,0.0749,0.1731,-0.0051,0.0104,0.5466,0.00051,0.0083,53.5
2590.4,134656,133,-0.246,0.0754,0.1731,-0.006,0.0067,0.484,0.00076,0.0171,56.5
2608.7,135680,134,-0.243,0.0757,0.1731,-0.0079,0.0047,0.4773,0.00416,0.0283,56.6
2628.0,136704,135,-0.236,0.0764,0.1731,-0.0083,0.0055,0.4219,0.00068,0.0408,53.5
2647.3,137728,136,-0.236,0.0764,0.1731,-0.0094,0.0142,0.5222,0.01786,0.0881,53.5
2666.6,138752,137,-0.23,0.077,0.1731,-0.0068,0.0065,0.4963,0.00802,0.0315,53.4
2686.0,139776,138,-0.224,0.0776,0.1731,-0.0063,0.0061,0.5119,0.00257,0.0623,53.4
2704.2,140800,139,-0.219,0.0781,0.1731,-0.0084,0.0068,0.4501,0.00029,0.0256,56.5
2723.6,141824,140,-0.213,0.0787,0.1731,-0.0069,0.0082,0.4968,-0.00181,0.0315,53.4
2741.9,142848,141,-0.208,0.0792,0.1818,-0.0091,0.0071,0.4676,0.00399,0.0366,56.5
2760.2,143872,142,-0.205,0.0795,0.1818,-0.0051,0.0052,0.4741,0.00396,0.0405,56.5
2779.5,144896,143,-0.193,0.0807,0.1818,-0.0114,0.0046,0.4558,0.00366,0.0232,53.5
2797.8,145920,144,-0.188,0.0812,0.1818,-0.0022,0.0033,0.4491,0.00761,0.0383,56.6
2817.1,146944,145,-0.18,0.082,0.1818,-0.0046,0.0064,0.4662,0.0001,0.0044,53.5
2836.4,147968,146,-0.176,0.0824,0.1818,-0.0026,0.0135,0.4353,0.00037,0.0037,53.6
2854.7,148992,147,-0.171,0.0829,0.1818,-0.0063,0.003,0.4855,0.00527,0.0159,56.6
2872.9,150016,148,-0.166,0.0834,0.1818,-0.0059,0.0023,0.4362,-0.00103,0.0112,56.5
2892.3,151040,149,-0.159,0.0841,0.1818,-0.0047,0.0066,0.4391,0.00419,0.011,53.4
2910.5,152064,150,-0.154,0.0846,0.1818,-0.007,0.0021,0.4661,0.00243,0.0298,56.6
2928.8,153088,151,-0.149,0.0851,0.1818,-0.0135,0.0021,0.4699,0.0104,0.0459,56.6
2947.1,154112,152,-0.14,0.086,0.1818,-0.0053,0.0045,0.4797,0.00297,0.0283,56.6
2966.4,155136,153,-0.128,0.0872,0.1941,-0.01,0.0085,0.486,0.00683,0.0435,53.5
2984.6,156160,154,-0.124,0.0876,0.1941,-0.0097,0.0026,0.4735,0.00245,0.032,56.6
3002.9,157184,155,-0.117,0.0883,0.1941,-0.0119,0.0044,0.4851,0.00899,0.0388,56.6
3022.2,158208,156,-0.11,0.089,0.1941,-0.0066,0.0132,0.4874,0.00123,0.0203,53.5
3040.5,159232,157,-0.104,0.0896,0.1941,-0.0057,0.0042,0.4827,0.00218,0.0227,56.5
3059.8,160256,158,-0.098,0.0902,0.1941,-0.008,0.0093,0.4965,0.0109,0.0972,53.5
3078.1,161280,159,-0.09,0.091,0.1941,-0.0077,0.0064,0.4852,0.0061,0.0269,56.5
3096.4,162304,160,-0.087,0.0913,0.1941,-0.0089,0.0069,0.459,0.00204,0.0222,56.5
3115.7,163328,161,-0.076,0.0924,0.1941,-0.0092,0.0042,0.4746,0.00024,0.0474,53.5
3135.0,164352,162,-0.07,0.093,0.1941,-0.0052,0.0092,0.4861,-0.00029,0.0176,53.5
