wall,env_steps,episode,return,best_percent,steps,complete,dead
785.3,35548,171,0.421,0.1421,731,0,1
789.7,35745,172,-0.618,0.0382,197,0,1
795.4,36027,173,-0.453,0.0547,282,0,1
798.1,36125,174,-0.81,0.019,98,0,1
806.8,36582,175,-0.113,0.0887,457,0,1
815.5,37022,176,-0.106,0.0894,440,0,1
821.7,37328,177,-0.407,0.0593,306,0,1
830.5,37794,178,-0.095,0.0905,466,0,1
833.3,37899,179,-0.797,0.0203,105,0,1
839.0,38179,180,-0.456,0.0544,280,0,1
843.2,38369,181,-0.631,0.0369,190,0,1
845.9,38467,182,-0.81,0.019,98,0,1
848.7,38568,183,-0.805,0.0195,101,0,1
859.0,39106,184,0.083,0.1083,538,0,1
861.7,39204,185,-0.81,0.019,98,0,1
866.1,39401,186,-0.618,0.0382,197,0,1
870.4,39597,187,-0.62,0.038,196,0,1
873.0,39695,188,-0.81,0.019,98,0,1
877.4,39891,189,-0.62,0.038,196,0,1
881.7,40087,190,-0.62,0.038,196,0,1
885.9,40279,191,-0.628,0.0372,192,0,1
890.1,40467,192,-0.635,0.0365,188,0,1
898.8,40923,193,-0.114,0.0886,456,0,1
903.0,41095,194,-0.627,0.0373,172,0,1
905.8,41196,195,-0.805,0.0195,101,0,1
910.0,41385,196,-0.633,0.0367,189,0,1
914.3,41579,197,-0.624,0.0376,194,0,1
918.5,41773,198,-0.624,0.0376,194,0,1
922.8,41962,199,-0.633,0.0367,189,0,1
931.4,42418,200,-0.114,0.0886,456,0,1
935.7,42613,201,-0.622,0.0378,195,0,1
940.0,42807,202,-0.624,0.0376,194,0,1
950.9,43378,203,0.148,0.1148,571,0,1
959.7,43844,204,-0.095,0.0905,466,0,1
965.5,44127,205,-0.451,0.0549,283,0,1
969.7,44317,206,-0.631,0.0369,190,0,1
974.0,44509,207,-0.628,0.0372,192,0,1
978.2,44699,208,-0.631,0.0369,190,0,1
982.4,44890,209,-0.629,0.0371,191,0,1
986.6,45057,210,-0.641,0.0359,167,0,1
989.3,45155,211,-0.81,0.019,98,0,1
993.5,45344,212,-0.633,0.0367,189,0,1
997.6,45529,213,-0.641,0.0359,185,0,1
1007.9,46083,214,0.077,0.1077,554,0,1
1019.7,46723,215,0.244,0.1244,640,0,1
1024.0,46920,216,-0.618,0.0382,197,0,1
1034.2,47453,217,0.072,0.1072,533,0,1
1046.0,48093,218,0.244,0.1244,640,0,1
1048.8,48197,219,-0.799,0.0201,104,0,1
1054.4,48475,220,-0.46,0.054,278,0,1
1067.7,49189,221,0.424,0.1424,714,0,1
1072.0,49381,222,-0.628,0.0372,192,0,1
1077.8,49664,223,-0.451,0.0549,283,0,1
1088.0,50214,224,0.069,0.1069,550,0,1
1098.3,50769,225,0.079,0.1079,555,0,1
1101.0,50867,226,-0.81,0.019,98,0,1
1111.3,51403,227,0.079,0.1079,536,0,1
1121.6,51960,228,0.083,0.1083,557,0,1
1130.4,52419,229,-0.108,0.0892,459,0,1
1136.2,52703,230,-0.449,0.0551,284,0,1
1147.1,53273,231,0.146,0.1146,570,0,1
1151.4,53468,232,-0.622,0.0378,195,0,1
1162.2,54057,233,0.144,0.1144,589,0,1
1173.1,54646,234,0.144,0.1144,589,0,1
1181.8,55102,235,-0.114,0.0886,456,0,1
1187.9,55388,236,-0.407,0.0593,286,0,1
1196.6,55844,237,-0.114,0.0886,456,0,1
1199.3,55942,238,-0.81,0.019,98,0,1
1210.9,56577,239,0.236,0.1236,635,0,1
1219.6,57033,240,-0.114,0.0886,456,0,1
1222.3,57131,241,-0.81,0.019,98,0,1
1230.9,57567,242,-0.114,0.0886,436,0,1
1239.6,58023,243,-0.114,0.0886,456,0,1
1249.9,58576,244,0.077,0.1077,553,0,1
1259.2,59072,245,-0.036,0.0964,496,0,1
1270.9,59693,246,0.244,0.1244,621,0,1
1281.3,60251,247,0.085,0.1085,558,0,1
1292.2,60846,248,0.156,0.1156,595,0,1
1302.5,61399,249,0.075,0.1075,553,0,1
1313.4,61970,250,0.144,0.1144,571,0,1
1319.1,62247,251,-0.462,0.0538,277,0,1
1330.6,62877,252,0.224,0.1224,630,0,1
1342.3,63496,253,0.24,0.124,619,0,1
1348.1,63779,254,-0.451,0.0549,283,0,1
1353.7,64056,255,-0.462,0.0538,277,0,1
1359.9,64362,256,-0.407,0.0593,306,0,1
1370.2,64917,257,0.079,0.1079,555,0,1
1378.9,65378,258,-0.101,0.0899,461,0,1
